대학명,지역,전형구분,군,학과명,모집인원,국어비율,수학비율,영어비율,탐구비율,한국사비율,과목별반영비율,비고
국민대학교,서울,정시,가군,모집단위별 세부,156,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집단위별 세부,237,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,모집계열,1,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,디자인학과 디자인학과 공예학과 공예학과 디자인학과 디자인학과 디자인학과 디자인학과 디자인학,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,일 이후에 본교가 주최하는 조형실기대회 및 산업통상자원부,15,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 연극전공,20,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 영화전공,13,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,공연예술학부 무용전공,26,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,미술학부 회화전공,10,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
국민대학교,서울,정시,가군,재외국민과,56,50%,40%,20%,,,국어:50% | 수학:40% | 영어:20%,
군산대학교2028,전북,정시,,가산점 부,921,,,,10%,,탐구:10%,
